id,name,brand,year,price,seats,transmission,fuelType,image,description,features,engine,horsepower,torque,fuelConsumption,dimensions,weight
6502746,Audi Q7 S-line 4.2 AT 2008,Audi,2008,275000000,7,Số tự động,Xăng,https://s.bonbanh.com/uploads/users/409431/car/6502746/m_1761799782.371.jpg,"Audi Q7 Quattro S Line 4.2 AWD - Tên cá nhân, biển số Hà Nội. Sản xuất và nhập Đức 2008. Màu trắng nội thất nâu da bò - Bản full kịch, option cao cấp: + Hệ thống dẫn động bốn bánh toàn thời gian Quattro, cân bằng điện tử, bóng hơi nâng hạ gầm,.. + 2 cửa sổ trời Panorama, mui kính, điều hòa tự động 4...","Cửa sổ trời, Camera 360, Cảm biến",Xăng 4.2 L,359,448 Nm,12.8L/100km,4600 x 1800 x 1450 mm,1399 kg
6445198,Audi A6 2.0T 2013,Audi,2013,444000000,5,Số tự động,Xăng,https://s.bonbanh.com/uploads/users/335456/car/6445198/m_1758621863.593.jpg,"Audi A6 sx 2013 dk 2014 Lăn bánh odo 11 v km Bảo dưỡng chuẩn ,xe chất không đâm đụng ,không thủy kích ,thân vỏ gin . Xe đi rất thích mượt mà ,bốc không lỗi lầm gi ,nội ngoại thất đẹp căng . Chất miễn bàn ,động cơ 2.0T trang bị cửa hít ,cốp điện ,mở cửa 1 chạm ,điều hòa 4 vùng độc lập... Giá cả có th...","Lốp mới, Dán phim cách nhiệt",Xăng 2.0 L,175,230 Nm,9.3L/100km,4600 x 1800 x 1450 mm,1382 kg
6445432,Audi A4 1.8 TFSI 2014,Audi,2014,489000000,5,Số tự động,Xăng,https://s.bonbanh.com/uploads/users/708508/car/6445432/m_1758632389.579.jpg,"️ ️Audi A4 Facelift model 2015 màu đen cực ngầu - Màu đen/ nt màu đen rất sạch - Động cơ 1.8 Turbo với 190 mã lực kèm theo hộp số mới 7 cấp S-Tronic - Option theo xe: khoang lái máy bay, nhạc hay loa sức sắc,… ✓️Đảm bảo ko đâm đụng, ngập nước. ✓️Bao test hãng ✓️Bao bank, duyệt hồ sơ trong ngày Tặng ...","Màn hình Android, Dán phim cách nhiệt",Xăng 1.8 L,152,185 Nm,9.4L/100km,4600 x 1800 x 1450 mm,1300 kg
6576705,Audi A8 L 55 TFSI Quattro 2022,Audi,2022,3680000000,5,Số tự động,Xăng,https://s.bonbanh.com/uploads/users/592133/car/6576705/m_1765848004.132.jpg,"Audi A8L 55 Plus sản xuất 2022 lăn bánh 25,000Km Màu sắc độc đáo cá tính duy nhất trên thị trường! Đây là lựa chọn hoàn hảo cho những doanh nhân thành đạt tìm kiếm sự kết hợp giữa công nghệ, sang trọng và khả năng vận hành đỉnh cao.","Màn hình Android, Dán phim cách nhiệt",Xăng 3.0 L,261,320 Nm,11.5L/100km,4600 x 1800 x 1450 mm,1562 kg
6528122,Audi Q7 45 TFSI Quattro 2023,Audi,2023,2879000000,7,Số tự động,Xăng,https://s.bonbanh.com/uploads/users/786547/car/6528122/m_1763177408.537.jpg,"Nhập Team Nguyên Xe Mộc Audi Q7 45 TFSI Quattro 2.0 sản xuất 2023 xe chạy 2vạn miles xe đẹp không lỗi nhỏ Hỗ trợ trả góp lên tới 70% trị xe, khách bị nợ sấu hỗ trợ trả góp 50% giá trị xe. ACE kết nối có khách bán cùng Giá bán linh động miễn sao vào việc khách CHỐT được xe.","Lốp mới, Màn hình Android",Xăng 2.0 L,171,220 Nm,6.0L/100km,4600 x 1800 x 1450 mm,1559 kg
6304838,Audi A6 45 TFSI 2020,Audi,2020,1289000000,5,Số tự động,Xăng,https://s.bonbanh.com/uploads/users/482242/car/6304838/m_1752052485.886.jpg,"AUTO CHỐT HÀ NỘI MỞ BÁN Audi A6 2020 – Đỉnh cao công nghệ & đẳng cấp doanh nhân Nhập Team Nguyên Xe Mộc Audi A6 45 TFSI sản xuất 2020 xe chạy 8vạn4km xịn option miên man đẹp không lỗi nhỏ Hỗ trợ trả góp lên tới 70% giá trị xe, khách bị nợ sấu hỗ trợ trả góp 50% giá trị xe. ACE kết nối có khách bán c...","Lốp mới, Kết nối Bluetooth",Xăng 2.0 L,178,226 Nm,9.1L/100km,4600 x 1800 x 1450 mm,1496 kg
6578710,Audi Q2 1.0 TFSI 2019,Audi,2019,830000000,5,Số tự động,Xăng,https://s.bonbanh.com/uploads/users/843133/car/6578710/m_1765941735.269.jpg,"Bán nhanh AUDI Q2 30 TFSI (Bản 1.0 Turbo nhập Đức) - Xe sản xuất 2019 mới leng keng - ODO: 49.500 km - Giá bán cực tốt rồi ạ - Hỗ trợ ngân hàng 60% giá xe, thủ tục nhanh - Cam kết nguyên bản 100%, pháp lý rõ rang, mua bán uy tín - Tính năng xe Audi Q2 - Camera lùi, Màn hình Digital, Đèn Full led mới...","Kết nối Bluetooth, Màn hình Android",Xăng 1.0 L,83,100 Nm,6.6L/100km,4600 x 1800 x 1450 mm,1448 kg
6539049,Audi Q7 45 TFSI Quattro 2023,Audi,2023,2750000000,7,Số tự động,Xăng,https://s.bonbanh.com/uploads/users/512513/car/6539049/m_1763786232.260.jpg,E lại về thêm hàng hiếm Audi Q7 sản xuất 2023 máy 2.0 Lăn bánh có 2v miles thôi ạ Chất miễn bàn check test thoải mái Alo e là lấy xe,"Lốp mới, Kết nối Bluetooth",Xăng 2.0 L,166,205 Nm,7.1L/100km,4600 x 1800 x 1450 mm,1345 kg
6576581,Audi A6 1.8 TFSI 2015,Audi,2015,579000000,5,Số tự động,Xăng,https://s.bonbanh.com/uploads/users/557471/car/6576581/m_1765824520.773.jpg,"Audi A6 sx 2015 Facelift 1.8TFSI Odo 84k km xe nhập Đức mẫu thế hệ mới máy mới cực kỳ lành bền siêu tiết kiệm xăng, vừa mới bảo dưỡng lớn full hạng mục gầm & máy, cam kết chất lượng xe hoạt động hoàn hảo. Option cực nhiều: Màn hình android xịn, Camera 360, Camera hành trình trước + sau, 4 vỏ Micheli...","Lốp mới, Camera 360, Màn hình Android",Xăng 1.8 L,163,191 Nm,8.9L/100km,4600 x 1800 x 1450 mm,1406 kg
6549524,Audi Q7 2.0 AT 2016,Audi,2016,1179000000,7,Số tự động,Xăng,https://s.bonbanh.com/uploads/users/512513/car/6549524/m_1764383020.922.jpg,Lại về thêm 7 chỗ hạng sang giá rẻ cho ae #Audi #Q7 sản xuất 2016 trắng nt nâu Lăn bánh 9v miles full lịch sử hãng Callme:,"Lốp mới, Màn hình Android",Xăng 2.0 L,185,224 Nm,8.3L/100km,4600 x 1800 x 1450 mm,1393 kg
